HomeOdds,DrawOdds,AwayOdds,Winner,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,HTGD,ATGD,DiffFormPts,DiffLP
1.44,4.0,7.5,1,1.0,0.25,W,L,D,L,L,D,11.0,18.0,0.0,-1.0,0.75,-7.0
2.25,3.2,3.1,1,0.25,1.5,L,L,D,W,W,L,16.0,7.0,-0.5,0.25,-1.25,9.0
2.0,3.2,3.75,1,1.5,0.75,W,W,L,D,D,D,17.0,18.0,0.0,0.0,0.75,-1.0
1.28,5.0,10.0,1,2.25,0.75,W,W,W,L,W,L,2.0,12.0,1.0,-0.5,1.5,-10.0
9.0,4.33,1.36,-1,0.5,2.25,D,L,D,W,W,W,18.0,1.0,-0.25,2.0,-1.75,17.0
2.0,3.2,3.75,1,1.25,1.0,D,W,D,W,L,D,15.0,10.0,0.25,0.0,0.25,5.0
3.2,3.25,2.2,1,1.5,1.0,W,L,W,L,W,D,8.0,4.0,0.5,0.0,0.5,4.0
2.3,3.25,3.0,1,1.0,1.0,W,L,D,L,W,D,13.0,9.0,0.0,0.0,0.0,4.0
1.28,5.0,10.0,0,1.0,1.5,D,W,L,W,W,L,3.0,17.0,0.0,0.0,-0.5,-14.0
1.8330000000000002,3.3,4.333,0,1.2,0.6,L,W,W,L,L,W,7.0,12.0,-0.6,-0.6,0.6,-5.0
1.25,5.0,13.0,0,2.4,1.8,W,W,W,W,W,L,1.0,8.0,2.2,0.6,0.6,-7.0
2.5,3.2,2.75,0,0.5,0.666666666667,L,L,D,L,L,L,18.0,9.0,-0.666666666667,-0.666666666667,-0.166666666667,9.0
2.75,3.2,2.5,0,0.5,1.33333333333,D,L,D,D,W,L,18.0,6.0,-0.666666666667,0.166666666667,-0.833333333333,12.0
2.6,3.2,2.62,-1,0.166666666667,0.666666666667,L,L,L,L,W,L,18.0,16.0,-1.16666666667,0.166666666667,-0.5,2.0
2.2,3.25,3.2,1,0.333333333333,1.16666666667,L,D,L,L,W,W,15.0,13.0,-1.16666666667,0.166666666667,-0.833333333333,2.0
1.9,3.1,4.33,0,0.666666666667,1.16666666667,L,L,W,D,L,W,10.0,7.0,-0.333333333333,-0.5,-0.5,3.0
1.5,3.6,7.5,0,2.16666666667,1.5,D,W,W,D,W,D,2.0,15.0,0.833333333333,0.333333333333,0.666666666667,-13.0
2.5,3.2,2.75,1,1.66666666667,1.66666666667,W,D,W,W,W,W,17.0,11.0,0.166666666667,0.333333333333,0.0,6.0
2.87,3.25,2.37,-1,0.666666666667,0.833333333333,D,L,L,W,L,D,12.0,5.0,-0.5,0.0,-0.166666666667,7.0
2.0,3.2,3.75,1,1.0,1.16666666667,D,D,D,L,W,L,3.0,4.0,0.0,0.333333333333,-0.166666666667,-1.0
6.5,3.5,1.57,-1,1.0,2.28571428571,W,L,W,D,W,W,16.0,1.0,0.28571428571400004,2.0,-1.0,15.0
3.5,3.2,2.1,-1,1.42857142857,2.0,L,W,W,D,D,W,11.0,2.0,0.14285714285700002,0.714285714286,-0.28571428571400004,9.0
1.5,3.75,7.0,1,1.14285714286,0.5714285714289999,W,W,L,D,L,L,5.0,18.0,0.14285714285700002,-0.5714285714289999,0.5714285714289999,-13.0
1.4,4.0,9.0,1,1.42857142857,0.5714285714289999,W,L,W,D,D,L,4.0,18.0,0.714285714286,-0.5714285714289999,0.8571428571430001,-14.0
3.4,3.25,2.1,-1,1.42857142857,1.28571428571,D,D,W,W,D,D,15.0,3.0,0.28571428571400004,0.14285714285700002,0.0,12.0
2.0,3.2,3.75,0,1.57142857143,0.714285714286,D,D,W,D,L,L,8.0,10.0,0.428571428571,-0.28571428571400004,0.5714285714289999,-2.0
1.5,3.6,7.5,0,1.33333333333,0.166666666667,D,W,L,L,L,L,6.0,18.0,0.166666666667,-1.16666666667,1.16666666667,-12.0
2.0,3.2,3.75,1,0.714285714286,0.5714285714289999,D,L,L,L,D,L,9.0,12.0,-0.5714285714289999,-0.5714285714289999,0.0,-3.0
